ZIP_Code,State,Parish,Network_Name,Network_Code
70001,LA,Jefferson Parish,Jefferson Network,JE-026
70002,LA,Jefferson Parish,Jefferson Network,JE-026
70003,LA,Jefferson Parish,Jefferson Network,JE-026
70004,LA,Jefferson Parish,Jefferson Network,JE-026
70005,LA,Jefferson Parish,Jefferson Network,JE-026
70006,LA,Jefferson Parish,Jefferson Network,JE-026
70009,LA,Jefferson Parish,Jefferson Network,JE-026
70010,LA,Jefferson Parish,Jefferson Network,JE-026
70011,LA,Jefferson Parish,Jefferson Network,JE-026
70030,LA,St. Charles Parish,St. Charles Network,SC-045
70031,LA,St. Charles Parish,St. Charles Network,SC-045
70032,LA,St. Bernard Parish,St. Bernard Network,SB-044
70033,LA,Jefferson Parish,Jefferson Network,JE-026
70036,LA,Jefferson Parish,Jefferson Network,JE-026
70037,LA,Plaquemines Parish,Plaquemines Network,PL-038
70038,LA,Plaquemines Parish,Plaquemines Network,PL-038
70039,LA,St. Charles Parish,St. Charles Network,SC-045
70040,LA,Plaquemines Parish,Plaquemines Network,PL-038
70041,LA,Plaquemines Parish,Plaquemines Network,PL-038
70043,LA,St. Bernard Parish,St. Bernard Network,SB-044
70044,LA,St Bernard Parish,St. Bernard Network,SB-044
70047,LA,St. Charles Parish,St. Charles Network,SC-045
70048,LA,St. Charles Parish,St. Charles Network,SC-045
70049,LA,St. John the Baptist Parish,St. John the Baptist Network,SK-048
70050,LA,Plaquemines Parish,Plaquemines Network,PL-038
70051,LA,St. John the Baptist Parish,St. John the Baptist Network,SK-048
70052,LA,St. James Parish,St. James Network,SJ-047
70053,LA,Jefferson Parish,Jefferson Network,JE-026
70054,LA,Jefferson Parish,Jefferson Network,JE-026
70055,LA,Jefferson Parish,Jefferson Network,JE-026
70056,LA,Jefferson Parish,Jefferson Network,JE-026
70057,LA,St. Charles Parish,St. Charles Network,SC-045
70058,LA,Jefferson Parish,Jefferson Network,JE-026
70059,LA,Jefferson Parish,Jefferson Network,JE-026
70060,LA,Jefferson Parish,Jefferson Network,JE-026
70062,LA,Jefferson Parish,Jefferson Network,JE-026
70063,LA,Jefferson Parish,Jefferson Network,JE-026
70064,LA,Jefferson Parish,Jefferson Network,JE-026
70065,LA,Jefferson Parish,Jefferson Network,JE-026
70067,LA,Jefferson Parish,Jefferson Network,JE-026
70068,LA,St. John the Baptist Parish,St. John the Baptist Network,SK-048
70069,LA,St. John the Baptist Parish,St. John the Baptist Network,SK-048
70070,LA,St. Charles Parish,St. Charles Network,SC-045
70071,LA,St. James Parish,St. James Network,SJ-047
70072,LA,Jefferson Parish,Jefferson Network,JE-026
70073,LA,Jefferson Parish,Jefferson Network,JE-026
70075,LA,St. Bernard Parish,St. Bernard Network,SB-044
70076,LA,St. John the Baptist Parish,St. John the Baptist Network,SK-048
70078,LA,St. Charles Parish,St. Charles Network,SC-045
70079,LA,St. Charles Parish,St. Charles Network,SC-045
70080,LA,St. Charles Parish,St. Charles Network,SC-045
70081,LA,Plaquemines Parish,Plaquemines Network,PL-038
70082,LA,Plaquemines Parish,Plaquemines Network,PL-038
70083,LA,Plaquemines Parish,Plaquemines Network,PL-038
70084,LA,St. John the Baptist Parish,St. John the Baptist Network,SK-048
70085,LA,St. Bernard Parish,St. Bernard Network,SB-044
70086,LA,St. James Parish,St. James Network,SJ-047
70087,LA,St. Charles Parish,St. Charles Network,SC-045
70090,LA,St. James Parish,St. James Network,SJ-047
70091,LA,Plaquemines Parish,Plaquemines Network,PL-038
70092,LA,St. Bernard Parish,St. Bernard Network,SB-044
70093,LA,Plaquemines Parish,Plaquemines Network,PL-038
70094,LA,Jefferson Parish,Jefferson Network,JE-026
70096,LA,Jefferson Parish,Jefferson Network,JE-026
70097,LA,Jefferson Parish,Jefferson Network,JE-026
70112,LA,Orleans Parish,Orleans Network,OR-036
70113,LA,Orleans Parish,Orleans Network,OR-036
70114,LA,Orleans Parish,Orleans Network,OR-036
70115,LA,Orleans Parish,Orleans Network,OR-036
70116,LA,Orleans Parish,Orleans Network,OR-036
70117,LA,Orleans Parish,Orleans Network,OR-036
70118,LA,Orleans Parish,Orleans Network,OR-036
70119,LA,Orleans Parish,Orleans Network,OR-036
70121,LA,Jefferson Parish,Jefferson Network,JE-026
70122,LA,Orleans Parish,Orleans Network,OR-036
70123,LA,Jefferson Parish,Jefferson Network,JE-026
70124,LA,Orleans Parish,Orleans Network,OR-036
70125,LA,Orleans Parish,Orleans Network,OR-036
70126,LA,Orleans Parish,Orleans Network,OR-036
70127,LA,Orleans Parish,Orleans Network,OR-036
70128,LA,Orleans Parish,Orleans Network,OR-036
70129,LA,Orleans Parish,Orleans Network,OR-036
70130,LA,Orleans Parish,Orleans Network,OR-036
70131,LA,Orleans Parish,Orleans Network,OR-036
70139,LA,Orleans Parish,Orleans Network,OR-036
70140,LA,Orleans Parish,Orleans Network,OR-036
70141,LA,Orleans Parish,Orleans Network,OR-036
70142,LA,Orleans Parish,Orleans Network,OR-036
70143,LA,Orleans Parish,Orleans Network,OR-036
70145,LA,Orleans Parish,Orleans Network,OR-036
70146,LA,Orleans Parish,Orleans Network,OR-036
70148,LA,Orleans Parish,Orleans Network,OR-036
70149,LA,Orleans Parish,Orleans Network,OR-036
70150,LA,Orleans Parish,Orleans Network,OR-036
70151,LA,Orleans Parish,Orleans Network,OR-036
70152,LA,Orleans Parish,Orleans Network,OR-036
70153,LA,Orleans Parish,Orleans Network,OR-036
70154,LA,Orleans Parish,Orleans Network,OR-036
70156,LA,Orleans Parish,Orleans Network,OR-036
70157,LA,Orleans Parish,Orleans Network,OR-036
70158,LA,Orleans Parish,Orleans Network,OR-036
70159,LA,Orleans Parish,Orleans Network,OR-036
70160,LA,Orleans Parish,Orleans Network,OR-036
70161,LA,Orleans Parish,Orleans Network,OR-036
70162,LA,Orleans Parish,Orleans Network,OR-036
70163,LA,Orleans Parish,Orleans Network,OR-036
70164,LA,Orleans Parish,Orleans Network,OR-036
70165,LA,Orleans Parish,Orleans Network,OR-036
70166,LA,Orleans Parish,Orleans Network,OR-036
70167,LA,Orleans Parish,Orleans Network,OR-036
70170,LA,Orleans Parish,Orleans Network,OR-036
70172,LA,Orleans Parish,Orleans Network,OR-036
70174,LA,Orleans Parish,Orleans Network,OR-036
70175,LA,Orleans Parish,Orleans Network,OR-036
