ZIP_Code,Parish,Network_Name,Network_Code,State
70001,Jefferson,Jefferson Network,JE-026,LA
70002,Jefferson,Jefferson Network,JE-026,LA
70003,Jefferson,Jefferson Network,JE-026,LA
70004,Jefferson,Jefferson Network,JE-026,LA
70005,Jefferson,Jefferson Network,JE-026,LA
70006,Jefferson,Jefferson Network,JE-026,LA
70009,Jefferson,Jefferson Network,JE-026,LA
70010,Jefferson,Jefferson Network,JE-026,LA
70011,Jefferson,Jefferson Network,JE-026,LA
70032,St. Bernard,St. Bernard Network,SB-044,LA
70033,Jefferson,Jefferson Network,JE-026,LA
70037,Plaquemines,Plaquemines Network,PL-038,LA
70038,Plaquemines,Plaquemines Network,PL-038,LA
70039,Plaquemines,Plaquemines Network,PL-038,LA
70040,Plaquemines,Plaquemines Network,PL-038,LA
70041,Plaquemines,Plaquemines Network,PL-038,LA
70043,St. James,St. James Network,SJ-047,LA
70044,St. Bernard,St. Bernard Network,SB-044,LA
70047,St. Charles,St. Charles Network,SC-045,LA
70048,St. Charles,St. Charles Network,SC-045,LA
70049,St. Charles,St. Charles Network,SC-045,LA
70050,St. Charles,St. Charles Network,SC-045,LA
70051,St. Charles,St. Charles Network,SC-045,LA
70052,St. Charles,St. Charles Network,SC-045,LA
70053,Jefferson,Jefferson Network,JE-026,LA
70054,Jefferson,Jefferson Network,JE-026,LA
70056,Jefferson,Jefferson Network,JE-026,LA
70057,Jefferson,Jefferson Network,JE-026,LA
70058,Jefferson,Jefferson Network,JE-026,LA
70059,Jefferson,Jefferson Network,JE-026,LA
70060,Jefferson,Jefferson Network,JE-026,LA
70062,Jefferson,Jefferson Network,JE-026,LA
70063,Jefferson,Jefferson Network,JE-026,LA
70064,Jefferson,Jefferson Network,JE-026,LA
70065,Jefferson,Jefferson Network,JE-026,LA
70067,Jefferson,Jefferson Network,JE-026,LA
70068,St. John the Baptist,St. John the Baptist Network,SK-048,LA
70069,St. John the Baptist,St. John the Baptist Network,SK-048,LA
70070,St. John the Baptist,St. John the Baptist Network,SK-048,LA
70071,St. John the Baptist,St. John the Baptist Network,SK-048,LA
70072,Jefferson,Jefferson Network,JE-026,LA
70073,Jefferson,Jefferson Network,JE-026,LA
70075,St. John the Baptist,St. John the Baptist Network,SK-048,LA
70076,St. John the Baptist,St. John the Baptist Network,SK-048,LA
70079,St. John the Baptist,St. John the Baptist Network,SK-048,LA
70080,St. Charles,St. Charles Network,SC-045,LA
70081,St. Charles,St. Charles Network,SC-045,LA
70082,Plaquemines,Plaquemines Network,PL-038,LA
70083,Plaquemines,Plaquemines Network,PL-038,LA
70084,Plaquemines,Plaquemines Network,PL-038,LA
70085,Plaquemines,Plaquemines Network,PL-038,LA
70086,St. James,St. James Network,SJ-047,LA
70087,St. Charles,St. Charles Network,SC-045,LA
70090,St. James,St. James Network,SJ-047,LA
70091,St. James,St. James Network,SJ-047,LA
70092,St. Bernard,St. Bernard Network,SB-044,LA
70094,Jefferson,Jefferson Network,JE-026,LA
70096,Jefferson,Jefferson Network,JE-026,LA
70112,Orleans,Orleans Network,OR-036,LA
70113,Orleans,Orleans Network,OR-036,LA
70114,Orleans,Orleans Network,OR-036,LA
70115,Orleans,Orleans Network,OR-036,LA
70116,Orleans,Orleans Network,OR-036,LA
70117,Orleans,Orleans Network,OR-036,LA
70118,Orleans,Orleans Network,OR-036,LA
70119,Orleans,Orleans Network,OR-036,LA
70121,Jefferson,Jefferson Network,JE-026,LA
70122,Orleans,Orleans Network,OR-036,LA
70123,Jefferson,Jefferson Network,JE-026,LA
70124,Orleans,Orleans Network,OR-036,LA
70125,Orleans,Orleans Network,OR-036,LA
70126,Orleans,Orleans Network,OR-036,LA
70127,Orleans,Orleans Network,OR-036,LA
70128,Orleans,Orleans Network,OR-036,LA
70129,Orleans,Orleans Network,OR-036,LA
70130,Orleans,Orleans Network,OR-036,LA
70131,Orleans,Orleans Network,OR-036,LA
70139,Orleans,Orleans Network,OR-036,LA
70140,Orleans,Orleans Network,OR-036,LA
70141,Orleans,Orleans Network,OR-036,LA
70142,Orleans,Orleans Network,OR-036,LA
70143,Orleans,Orleans Network,OR-036,LA
70145,Orleans,Orleans Network,OR-036,LA
70146,Orleans,Orleans Network,OR-036,LA
70148,Orleans,Orleans Network,OR-036,LA
70150,Orleans,Orleans Network,OR-036,LA
70151,Orleans,Orleans Network,OR-036,LA
70152,Orleans,Orleans Network,OR-036,LA
70153,Orleans,Orleans Network,OR-036,LA
70154,Orleans,Orleans Network,OR-036,LA
70156,Orleans,Orleans Network,OR-036,LA
70157,Orleans,Orleans Network,OR-036,LA
70158,Orleans,Orleans Network,OR-036,LA
70159,Orleans,Orleans Network,OR-036,LA
70160,Orleans,Orleans Network,OR-036,LA
70161,Orleans,Orleans Network,OR-036,LA
70162,Orleans,Orleans Network,OR-036,LA
70163,Orleans,Orleans Network,OR-036,LA
70164,Orleans,Orleans Network,OR-036,LA
70165,Orleans,Orleans Network,OR-036,LA
70166,Orleans,Orleans Network,OR-036,LA
70167,Orleans,Orleans Network,OR-036,LA
70170,Orleans,Orleans Network,OR-036,LA
70172,Orleans,Orleans Network,OR-036,LA
70174,Orleans,Orleans Network,OR-036,LA
70175,Orleans,Orleans Network,OR-036,LA
70176,Orleans,Orleans Network,OR-036,LA
70177,Orleans,Orleans Network,OR-036,LA
70178,Orleans,Orleans Network,OR-036,LA
70179,Orleans,Orleans Network,OR-036,LA
70181,Orleans,Orleans Network,OR-036,LA
70182,Orleans,Orleans Network,OR-036,LA
70183,Orleans,Orleans Network,OR-036,LA
70184,Orleans,Orleans Network,OR-036,LA
70185,Orleans,Orleans Network,OR-036,LA
70186,Orleans,Orleans Network,OR-036,LA
70187,Orleans,Orleans Network,OR-036,LA
70189,Orleans,Orleans Network,OR-036,LA
70190,Orleans,Orleans Network,OR-036,LA
70195,Orleans,Orleans Network,OR-036,LA
70301,Terrebonne,Terrebonne Network,TR-055,LA
70302,Terrebonne,Terrebonne Network,TR-055,LA
70310,Terrebonne,Terrebonne Network,TR-055,LA
70339,Terrebonne,Terrebonne Network,TR-055,LA
70341,Terrebonne,Terrebonne Network,TR-055,LA
70342,Terrebonne,Terrebonne Network,TR-055,LA
70343,Terrebonne,Terrebonne Network,TR-055,LA
70344,Terrebonne,Terrebonne Network,TR-055,LA
70345,Terrebonne,Terrebonne Network,TR-055,LA
70346,Terrebonne,Terrebonne Network,TR-055,LA
70354,Terrebonne,Terrebonne Network,TR-055,LA
70355,Terrebonne,Terrebonne Network,TR-055,LA
70356,Terrebonne,Terrebonne Network,TR-055,LA
70357,Terrebonne,Terrebonne Network,TR-055,LA
70358,Terrebonne,Terrebonne Network,TR-055,LA
70359,Terrebonne,Terrebonne Network,TR-055,LA
70360,Terrebonne,Terrebonne Network,TR-055,LA
70361,Terrebonne,Terrebonne Network,TR-055,LA
70363,Terrebonne,Terrebonne Network,TR-055,LA
70364,Terrebonne,Terrebonne Network,TR-055,LA
70371,Lafourche,Lafourche Network,LF-029,LA
70372,Lafourche,Lafourche Network,LF-029,LA
70373,Lafourche,Lafourche Network,LF-029,LA
70374,Lafourche,Lafourche Network,LF-029,LA
70375,Lafourche,Lafourche Network,LF-029,LA
70377,Lafourche,Lafourche Network,LF-029,LA
70380,St. Mary,St. Mary Network,SR-051,LA
70381,St. Mary,St. Mary Network,SR-051,LA
70390,St. Mary,St. Mary Network,SR-051,LA
70391,St. Mary,St. Mary Network,SR-051,LA
70392,St. Mary,St. Mary Network,SR-051,LA
70393,St. Mary,St. Mary Network,SR-051,LA
70394,St. Mary,St. Mary Network,SR-051,LA
70395,St. Mary,St. Mary Network,SR-051,LA
70396,St. Mary,St. Mary Network,SR-051,LA
70401,Tangipahoa,Tangipahoa Network,TA-053,LA
